# Constructed from biom file
#OTU ID	ABPF17149	AEPF24227	AERN31500	AGM26613	AJB18282	AJMJ20394	ALM10662	ALSC19789	APS24612	APTV25268	ASCD31246	ASSF21862	BacterialMock.080817.10	BacterialMock.080817.11	BacterialMock.080817.1	BacterialMock.080817.2	BacterialMock.080817.3	BacterialMock.080817.4	BacterialMock.080817.5	BacterialMock.080817.6	BacterialMock.080817.7	BacterialMock.080817.8	BacterialMock.080817.9	Blank.080817.10	Blank.080817.11	Blank.080817.1	Blank.080817.2	Blank.080817.3	Blank.080817.4	Blank.080817.5	Blank.080817.6	Blank.080817.7	Blank.080817.8	Blank.080817.9	BMK.025.1	BMK.025.2	BMK.050.1	BMK.050.2	BMK.050.3	BMK.100.1	BMK.100.2	BMK.100.3	BMK.150.1	BMK.150.2	BMK.150.3	BMK.200.1	BMK.200.2	BMK.200.3	BMK.250.1	BMK.250.2	BMK.250.3	BMK.300.1	BMK.300.2	BMK.300.3	CAJF18166	CASSS19832	CB26727	CCS31005	CFM22616	CFS26656	CLVF16181	CMS10936	COH19885	CQP19263	CRS14914	CTRCO18372	CWCR16963	DCT23113	EAA13374	EBR28544	EFH28728	ESN20792	EW23173	EXC9427	FES29529	FPL23568	GJFS19580	HBR18602	IFS30972	ILB19716	JBT20806	JCBM22188	JFOF23397	JLO19898	JODV20100	JPMS23545	JPS27831	JSF25941	KCK26900	KG23749	LGC17200	LNSV15428	LVSO31165	MBC23362	MBM24442	MBM29627	MES12996	MHSC11413	MMFS24992	MTG29565	MVHC19089	NRM29064	OS16712	PCRBlank.080817.10	PCRBlank.080817.11	PCRBlank.080817.12	PCRBlank.080817.13	PCRBlank.080817.14	PCRBlank.080817.1	PCRBlank.080817.2	PCRBlank.080817.3	PCRBlank.080817.4	PCRBlank.080817.5	PCRBlank.080817.6	PCRBlank.080817.7	PCRBlank.080817.8	PCRBlank.080817.9	PMN23441	RMA23264	RMB9874	RSFFR12766	RSM29104	RSS13772	SCBO27751	SCR26808	SCS31167	SLS12740	TCS12650	TM27759	TPOB30381	TRCA18493	TVB26623	VCC25910	VDM16390	VMPS20713	VRS29859	WSC15203	WSC24628
Amino Acid Metabolism	9343819.0	6547192.0	6338491.0	7379115.0	5530379.0	8562042.0	4264479.0	2674336.0	6610652.0	9716438.0	6447648.0	2597452.0	5215639.0	5018058.0	4639453.0	5000315.0	5499320.0	4762786.0	2826130.0	3411460.0	5275501.0	5704375.0	5092559.0	4208347.0	665299.0	3154370.0	2290065.0	3583729.0	705027.0	59723.0	1720410.0	77531.0	1718662.0	711198.0	1133951.0	408350.0	1311759.0	608758.0	1721374.0	2521834.0	1944857.0	3882719.0	3138310.0	1545736.0	884168.0	4444530.0	19048896.0	540533.0	2641621.0	749659.0	3092896.0	2098723.0	782328.0	3101489.0	21067142.0	3805874.0	11265807.0	12245020.0	13932514.0	10746633.0	9658003.0	9212105.0	7375295.0	9164875.0	11859091.0	11235350.0	9932868.0	14189635.0	7320654.0	5557775.0	4750624.0	8036053.0	8586755.0	10603110.0	8542868.0	12044687.0	10577608.0	9674423.0	15050670.0	13759893.0	12422202.0	7096393.0	1836636.0	6402834.0	3388472.0	9630878.0	6491627.0	8287808.0	6046842.0	4171804.0	2077106.0	3879997.0	8437484.0	7564412.0	6296093.0	7464395.0	5383013.0	7844673.0	5145677.0	5048948.0	5321478.0	1543759.0	11035989.0	1126939.0	59592.0	671169.0	1262100.0	243609.0	3514134.0	813951.0	391466.0	0.0	77210.0	346602.0	33366.0	258147.0	435250.0	7460872.0	9875947.0	5411680.0	5022971.0	3009681.0	11830142.0	9882603.0	15776129.0	6003510.0	6632535.0	13277168.0	10194047.0	8637687.0	17310403.0	7648061.0	9422532.0	4798237.0	8602293.0	12581271.0	1580373.0	5317516.0
Biosynthesis of Other Secondary Metabolites	798284.0	550228.0	544176.0	614181.0	462702.0	731468.0	354171.0	199694.0	589049.0	826464.0	544553.0	194565.0	440057.0	423000.0	390631.0	422376.0	463851.0	400676.0	238292.0	287909.0	444113.0	480525.0	429054.0	355256.0	54285.0	268225.0	192416.0	302823.0	59579.0	5044.0	145123.0	6639.0	145722.0	59625.0	95942.0	34509.0	110920.0	51234.0	150543.0	211493.0	164334.0	326995.0	265683.0	132871.0	80379.0	373803.0	1609106.0	48363.0	221826.0	62641.0	258763.0	176341.0	65261.0	262229.0	1766767.0	288454.0	979115.0	1005936.0	1164438.0	939034.0	862528.0	771520.0	620154.0	747996.0	1008193.0	941565.0	826554.0	1212847.0	617893.0	466900.0	386586.0	667902.0	712097.0	932417.0	720622.0	990782.0	888142.0	831291.0	1269889.0	1173204.0	1056115.0	591563.0	155169.0	534046.0	285101.0	789355.0	542069.0	706318.0	508056.0	347642.0	166853.0	338872.0	679933.0	635726.0	535885.0	623780.0	463645.0	677630.0	434194.0	421587.0	435381.0	103240.0	934427.0	95158.0	5037.0	56655.0	126710.0	20615.0	300864.0	76416.0	31510.0	0.0	7375.0	30161.0	2836.0	21777.0	38594.0	643480.0	821503.0	442804.0	409233.0	220620.0	1025195.0	823327.0	1346168.0	482602.0	560063.0	1131398.0	864432.0	729641.0	1447693.0	619969.0	805525.0	393071.0	723485.0	1056219.0	100412.0	453176.0
Cancers	88685.0	68197.0	61371.0	72780.0	60869.0	81270.0	43602.0	28654.0	68231.0	94546.0	67284.0	29936.0	47316.0	45383.0	41915.0	45716.0	49898.0	43158.0	25731.0	31199.0	48049.0	52250.0	46467.0	40832.0	8291.0	29422.0	21577.0	33663.0	6620.0	572.0	16167.0	634.0	15959.0	6582.0	10616.0	3834.0	11772.0	7654.0	11430.0	23304.0	17391.0	35797.0	29846.0	14411.0	3530.0	40150.0	178260.0	2720.0	25087.0	6610.0	29188.0	18631.0	6449.0	29527.0	207882.0	32319.0	117767.0	124668.0	137777.0	109671.0	94371.0	93186.0	69774.0	91158.0	119142.0	115852.0	103892.0	139831.0	78027.0	52014.0	48847.0	81708.0	83033.0	103938.0	87116.0	119547.0	111724.0	98538.0	148220.0	137957.0	124462.0	75128.0	20046.0	64802.0	31143.0	113511.0	67702.0	82255.0	58750.0	36669.0	21590.0	39072.0	89528.0	75213.0	61414.0	73290.0	56620.0	78751.0	54812.0	48072.0	49982.0	17028.0	119008.0	10542.0	560.0	6302.0	13408.0	2258.0	34275.0	818.0	3808.0	0.0	660.0	3487.0	266.0	2426.0	5779.0	75053.0	97695.0	56073.0	50777.0	35007.0	116446.0	100543.0	152072.0	62960.0	62752.0	130985.0	102299.0	91295.0	176699.0	76580.0	102710.0	47254.0	90749.0	121727.0	17968.0	52719.0
Carbohydrate Metabolism	10798324.0	7519457.0	7318318.0	8349230.0	6143022.0	9950870.0	4774190.0	2759138.0	7511746.0	11165069.0	7323783.0	2677903.0	6126990.0	5905800.0	5455900.0	5845145.0	6461541.0	5596790.0	3305735.0	3981224.0	6181898.0	6672000.0	5966542.0	4815824.0	706206.0	3604528.0	2621346.0	4121923.0	810943.0	68684.0	1975164.0	85625.0	1992600.0	813193.0	1295365.0	469705.0	1515251.0	680204.0	2349928.0	2899553.0	2264152.0	4455708.0	3635780.0	1807018.0	1221395.0	5155949.0	21929168.0	718140.0	3044478.0	869338.0	3528066.0	2400577.0	911554.0	3580398.0	24064581.0	4271310.0	13005336.0	13808776.0	15953768.0	12182662.0	11187003.0	10493303.0	8445063.0	10167064.0	13394470.0	12814085.0	11217062.0	16232299.0	8353781.0	6465493.0	5342209.0	9139752.0	9755084.0	12289766.0	9749296.0	13559310.0	12097191.0	11369613.0	16909558.0	15742356.0	14118028.0	8056305.0	2096499.0	7249945.0	3922471.0	11022608.0	7366789.0	9517308.0	6847707.0	4997450.0	2280761.0	4433687.0	9385844.0	8581193.0	7193638.0	8508192.0	6078188.0	8777127.0	5822249.0	5764591.0	6038988.0	1458180.0	12624837.0	1294314.0	68498.0	772058.0	1431903.0	282358.0	4022200.0	1446803.0	418987.0	0.0	82607.0	386990.0	39016.0	295722.0	452169.0	8541490.0	11167616.0	6078038.0	5599164.0	3010341.0	13519483.0	11128011.0	18214328.0	6628879.0	7637697.0	15608055.0	11664549.0	9854765.0	19467779.0	8556138.0	10725813.0	5420632.0	9743067.0	14274386.0	1421541.0	6079644.0
Cardiovascular Diseases	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	454.0	736.0	280.0	0.0	7.0	0.0	0.0	24.0	0.0	309.0	6.0	0.0	0.0	0.0	295.0	211.0	0.0	70.0	106.0	360.0	126.0	454.0	76.0	32.0	0.0	253.0	0.0	0.0	0.0	43.0	299.0	0.0	0.0	0.0	0.0	39.0	0.0	310.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	81.0	0.0	45.0	8.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	2.0	790.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	360.0	0.0	0.0	0.0	4.0	18.0	0.0	0.0	471.0	0.0	98.0	0.0	0.0	24.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0
Cell Communication	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cell Growth and Death	561054.0	396640.0	383129.0	453302.0	347428.0	530190.0	252969.0	156607.0	398413.0	581818.0	393198.0	156132.0	320658.0	308573.0	285262.0	306360.0	337403.0	292706.0	173455.0	209531.0	323369.0	349180.0	312163.0	258077.0	42162.0	191532.0	138338.0	218732.0	43030.0	3583.0	104809.0	4983.0	104304.0	42958.0	69481.0	24924.0	79488.0	37727.0	128209.0	152026.0	120067.0	235978.0	196770.0	96590.0	61762.0	274660.0	1164048.0	34992.0	161384.0	46613.0	186486.0	127922.0	46673.0	191436.0	1297701.0	250589.0	700785.0	748481.0	823831.0	634070.0	570778.0	562640.0	450197.0	555637.0	718651.0	680386.0	601628.0	846553.0	430561.0	343193.0	300345.0	495360.0	513220.0	615857.0	518047.0	732584.0	634018.0	588409.0	925152.0	788544.0	736406.0	419801.0	111237.0	389052.0	211521.0	608668.0	384224.0	508806.0	367320.0	253933.0	124035.0	245528.0	517705.0	444808.0	383617.0	455978.0	333333.0	475083.0	315918.0	309682.0	332066.0	92695.0	659116.0	68431.0	3633.0	40953.0	71002.0	14999.0	214658.0	80043.0	21187.0	0.0	3493.0	19559.0	2104.0	15724.0	27141.0	462350.0	600613.0	323410.0	304349.0	182835.0	713464.0	605224.0	950600.0	367835.0	396618.0	732277.0	629432.0	524995.0	1027434.0	469402.0	562096.0	296364.0	530796.0	755342.0	94384.0	320012.0
Cell Motility	2205015.0	1695730.0	1498301.0	1823379.0	1236568.0	1992299.0	1071311.0	658476.0	1518426.0	2202556.0	1508024.0	669217.0	1317432.0	1260758.0	1162470.0	1261353.0	1392632.0	1190251.0	708049.0	848950.0	1325378.0	1438981.0	1282148.0	1049670.0	182769.0	772629.0	573421.0	891778.0	175434.0	17399.0	426606.0	16533.0	410082.0	179761.0	280385.0	101610.0	319891.0	163328.0	325564.0	627558.0	472399.0	961279.0	740565.0	361054.0	79338.0	1041944.0	4719493.0	77965.0	666785.0	174817.0	756545.0	516579.0	166107.0	757217.0	4922016.0	837042.0	2434198.0	2971403.0	3080163.0	2371492.0	2176864.0	2238915.0	1816153.0	2262093.0	2809504.0	2769251.0	2350624.0	3291847.0	1702498.0	1358285.0	1074991.0	1901073.0	2051970.0	2222813.0	2009928.0	2884800.0	2472584.0	2086218.0	3244526.0	2979904.0	2987094.0	1640177.0	411732.0	1534182.0	818910.0	2671514.0	1648951.0	1895078.0	1381811.0	978234.0	528992.0	850572.0	2029493.0	1716690.0	1517668.0	1819731.0	1214845.0	1792298.0	1167606.0	1228081.0	1280871.0	462483.0	2498761.0	280351.0	14802.0	166625.0	259533.0	59991.0	870068.0	44567.0	117028.0	0.0	17688.0	80455.0	7194.0	63694.0	128427.0	1693397.0	2402769.0	1280412.0	1229218.0	803446.0	2751558.0	2315785.0	3819809.0	1502300.0	1511900.0	2445432.0	2470696.0	1980362.0	4090270.0	1915566.0	2021087.0	1245476.0	2006926.0	3058948.0	491741.0	1251294.0
Cellular Processes and Signaling	4103519.0	2881462.0	2778537.0	3202606.0	2376992.0	3701120.0	1827654.0	1093503.0	2848491.0	4189392.0	2808219.0	1080066.0	2300337.0	2212752.0	2042781.0	2207461.0	2428313.0	2100859.0	1244579.0	1501435.0	2331626.0	2524823.0	2252175.0	1844770.0	266923.0	1376558.0	1009696.0	1581453.0	311137.0	26489.0	757358.0	32348.0	716768.0	314454.0	498888.0	180213.0	570219.0	263323.0	671816.0	1120609.0	849401.0	1698179.0	1366397.0	666640.0	323715.0	1939151.0	8395675.0	217538.0	1160550.0	322055.0	1361737.0	913360.0	325994.0	1358261.0	9140685.0	1550567.0	4863554.0	5330860.0	6039361.0	4600302.0	4223430.0	4034422.0	3239843.0	3965905.0	5161177.0	4912223.0	4316952.0	6210067.0	3162902.0	2449453.0	2014317.0	3494694.0	3726343.0	4568952.0	3766791.0	5183621.0	4572555.0	4095622.0	6564819.0	5892735.0	5386054.0	3051283.0	791851.0	2789782.0	1466919.0	4081574.0	2829229.0	3592855.0	2650459.0	1824916.0	889311.0	1667691.0	3649790.0	3264728.0	2760148.0	3272469.0	2332864.0	3410456.0	2231311.0	2201635.0	2296259.0	631155.0	4767085.0	494187.0	26289.0	296115.0	541592.0	107069.0	1529640.0	245080.0	163996.0	0.0	23576.0	145604.0	14107.0	113667.0	166234.0	3265177.0	4297257.0	2332063.0	2171068.0	1249423.0	5181929.0	4310462.0	6924315.0	2574841.0	2886442.0	5624414.0	4480736.0	3744877.0	7490168.0	3307688.0	4080707.0	2070296.0	3757742.0	5466444.0	635796.0	2311119.0
Circulatory System	0.0	72.0	0.0	51.0	1566.0	0.0	1242.0	198.0	30.0	27.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	551.0	1402.0	304.0	279.0	6.0	0.0	66.0	33.0	0.0	1059.0	66.0	0.0	0.0	390.0	597.0	1179.0	351.0	35.0	434.0	720.0	126.0	304.0	516.0	30.0	63.0	996.0	0.0	630.0	1008.0	661.0	603.0	1380.0	0.0	0.0	213.0	2037.0	0.0	930.0	2646.0	288.0	11478.0	9.0	285.0	1344.0	747.0	9.0	24.0	924.0	1230.0	12.0	243.0	0.0	405.0	24.0	303.0	0.0	0.0	0.0	57.0	44.0	2067.0	56.0	2370.0	60.0	0.0	5694.0	1.0	0.0	30.0	993.0	279.0	156.0	132.0	573.0	18.0	51.0	951.0	168.0	48.0	27.0	14.0	0.0	0.0	1183.0	0.0	839.0	0.0	1044.0	0.0	34.0	114.0	0.0	0.0	1309.0	69.0	294.0	0.0	1194.0	406.0	0.0	2670.0	0.0	489.0	12.0	0.0	2982.0	30.0	819.0	1902.0	111.0	66.0	192.0	330.0	128.0	15.0
